COUNTRY,GDP,GDP_PER_CAPITA
United States,25462700000000.00,75269.00
China,17963200000000.00,12598.00
Japan,4231140000000.00,34135.00
Germany,4072190000000.00,48845.00
India,3385090000000.00,2389.00
United Kingdom,3070670000000.00,45485.00
France,2782910000000.00,43061.00
Russia,2240420000000.00,15482.00
Canada,2139840000000.00,55646.00
Italy,2010430000000.00,34053.00
Brazil,1920100000000.00,8918.00
Australia,1675420000000.00,64003.00
South Korea,1665250000000.00,32138.00
Mexico,1414190000000.00,11091.00
Spain,1397510000000.00,29385.00
Indonesia,1319100000000.00,4788.00
Saudi Arabia,1108150000000.00,30436.00
Netherlands,991115000000.00,56429.00
Turkey,905988000000.00,10616.00
Switzerland,807706000000.00,92410.00
Poland,688177000000.00,17266.00
Argentina,632770000000.00,13904.00
Sweden,585939000000.00,55543.00
Norway,579267000000.00,106594.00
Belgium,578604000000.00,49640.00
Ireland,529245000000.00,105362.00
Israel,522033000000.00,57758.00
United Arab Emirates,507535000000.00,53758.00
Thailand,495341000000.00,6909.00
Nigeria,477386000000.00,2184.00
Egypt,476748000000.00,4295.00
Austria,471400000000.00,52732.00
Singapore,466789000000.00,78115.00
Bangladesh,460201000000.00,2688.00
Vietnam,408802000000.00,4164.00
Malaysia,406306000000.00,11972.00
South Africa,405870000000.00,6776.00
Philippines,404284000000.00,3499.00
Denmark,395404000000.00,67220.00
Iran,388544000000.00,4388.00
Pakistan,376533000000.00,1597.00
Hong Kong,359839000000.00,48050.00
Colombia,343939000000.00,6630.00
Romania,301262000000.00,15324.00
Chile,301025000000.00,15355.00
Czech Republic (Czechia),290924000000.00,27723.00
Finland,280826000000.00,50684.00
Iraq,264182000000.00,5937.00
Portugal,251945000000.00,24530.00
New Zealand,247234000000.00,47680.00
Peru,242632000000.00,7126.00
Qatar,237296000000.00,88046.00
Kazakhstan,220623000000.00,11373.00
Greece,219066000000.00,21095.00
Algeria,191913000000.00,4274.00
Kuwait,184558000000.00,43233.00
Hungary,178789000000.00,17938.00
Ukraine,160503000000.00,4043.00
Morocco,134182000000.00,3582.00
Ethiopia,126783000000.00,1028.00
Slovakia,115469000000.00,20461.00
Ecuador,115049000000.00,6391.00
Oman,114667000000.00,25057.00
Dominican Republic,113642000000.00,10121.00
Kenya,113420000000.00,2099.00
Angola,106714000000.00,2999.00
Guatemala,95003333381.00,5324.00
Bulgaria,89040398406.00,13129.00
Luxembourg,82274812251.00,127046.00
Uzbekistan,80391853885.00,2322.00
Azerbaijan,78721058824.00,7600.00
Panama,76522511781.00,17358.00
Tanzania,75709289056.00,1156.00
Sri Lanka,74403578363.00,3408.00
Ghana,72838798788.00,2176.00
Belarus,72793457588.00,7634.00
Uruguay,71177146197.00,20795.00
Croatia,70964606465.00,17608.00
Lithuania,70334299008.00,25576.00
C̫te d'Ivoire,70018715017.00,2486.00
Costa Rica,68380838316.00,13199.00
Serbia,63501748652.00,8794.00
Slovenia,62117768015.00,29303.00
Myanmar,59364362541.00,1096.00
DR Congo,58065953573.00,586.00
Sudan,51662241775.00,1102.00
Jordan,47451499859.00,4205.00
Tunisia,46664948952.00,3777.00
Libya,45752336036.00,6716.00
Uganda,45559202049.00,964.00
Bahrain,44390820479.00,30152.00
Cameroon,44341646509.00,1588.00
Bolivia,43068885673.00,3523.00
Paraguay,41722295362.00,6153.00
Latvia,41153912663.00,22238.00
Nepal,40828247302.00,1337.00
Estonia,38100812959.00,28732.00
El Salvador,32488720000.00,5127.00
Honduras,31717700115.00,3040.00
Papua New Guinea,30633444295.00,3020.00
Cambodia,29956769529.00,1787.00
Zambia,29784454056.00,1488.00
Cyprus,28439052741.00,22724.00
Trinidad and Tobago,27899082337.00,18222.00
Iceland,27841648044.00,74663.00
Senegal,27684430244.00,1599.00
Georgia,24605375420.00,6571.00
Bosnia and Herzegovina,24527507288.00,7585.00
Macao,21979475561.00,31618.00
Guinea,21227749389.00,1532.00
Gabon,21071739228.00,8820.00
Zimbabwe,20678055598.00,1267.00
Botswana,20352322157.00,7738.00
Haiti,20253551885.00,1748.00
Armenia,19502783988.00,7014.00
State of Palestine,19111900000.00,3640.00
Burkina Faso,18884619613.00,833.00
Albania,18882095518.00,6643.00
Mali,18827176532.00,833.00
Mozambique,17851491428.00,541.00
Malta,17765270015.00,33313.00
Benin,17401746309.00,1303.00
Jamaica,17097760745.00,6047.00
Mongolia,16810883361.00,4947.00
Brunei,16681531646.00,37152.00
Laos,15724383783.00,2088.00
Nicaragua,15671583878.00,2255.00
Guyana,15357537068.00,18990.00
Madagascar,14954967604.00,505.00
Congo,14615532210.00,2448.00
Moldova,14420947884.00,4406.00
Niger,13969605583.00,533.00
North Macedonia,13563132057.00,6478.00
Rwanda,13312796765.00,966.00
Malawi,13164667627.00,645.00
Mauritius,12898307089.00,9926.00
Bahamas,12897400000.00,31458.00
Chad,12704149842.00,717.00
Namibia,12607436976.00,4911.00
Equatorial Guinea,11813908448.00,7053.00
Kyrgyzstan,10930644915.00,1649.00
Tajikistan,10492123388.00,1054.00
Mauritania,10375460680.00,2191.00
Togo,8126439481.00,918.00
Maldives,6189865408.00,11818.00
Montenegro,6095978868.00,9721.00
Barbados,5637914515.00,20019.00
Fiji,4943248200.00,5317.00
Eswatini,4854167638.00,4040.00
Liberia,4001047150.00,755.00
Sierra Leone,3970343852.00,461.00
Suriname,3620655116.00,5858.00
Andorra,3352032737.00,41993.00
Timor-Leste,3163324631.00,2358.00
Burundi,3073414678.00,238.00
Belize,2824081836.00,6968.00
Lesotho,2553459763.00,1107.00
Central African Republic,2382618615.00,427.00
Cabo Verde,2314816792.00,3903.00
Gambia,2273060863.00,840.00
Saint Lucia,2065027556.00,11481.00
Antigua and Barbuda,1757603704.00,18745.00
Guinea-Bissau,1633559092.00,776.00
Solomon Islands,1595710784.00,2203.00
Seychelles,1588406479.00,14829.00
Grenada,1256413185.00,10016.00
Comoros,1242519407.00,1485.00
Vanuatu,983582865.00,3010.00
Saint Kitts & Nevis,961563259.00,20177.00
St. Vincent & Grenadines,948558503.00,9125.00
Samoa,832421565.00,3743.00
Dominica,612048148.00,8415.00
Sao Tome & Principe,546680342.00,2404.00
Micronesia,427094119.00,792.00
Marshall Islands,279667900.00,6728.00
Kiribati,223352943.00,1702.00
Tuvalu,60349391.00,5335.00