name,dollar_price
Andorra,3.28
Argentina,4.67
Aruba,2.22
Australia,3.97
Austria,3.48
Azerbaijan,3.41
Bahamas,3.75
Bahrain,4.24
Belgium,3.52
Bolivia,3.19
Brazil,1.96
Bulgaria,2.69
Cambodia,3.25
Canada,3.85
Chile,4.95
China,4.23
Colombia,2.50
Costa Rica,4.22
Cyprus,2.97
Czech Republic,3.93
Denmark,6.55
Egypt,2.23
El Salvador,4.25
Finland,5.67
France,5.36
Germany,4.49
Greece,3.92
Guatemala,3.23
Hong Kong/Macau,5.52
Hungary,3.34
India,3.56
Indonesia,3.08
Ireland,4.39
Italy,2.84
Jamaica,3.84
Japan,3.57
Jordan,3.53
Kuwait,4.30
Luxembourg,5.51
Malaysia,3.04
Monaco,4.80
Morocco,2.81
Netherlands,4.44
New Zealand,3.34
Norway,5.08
Oman,4.09
Panama,4.70
Peru,2.49
Philippines,3.26
Poland,3.56
Portugal,3.59
Puerto Rico,4.05
Qatar,4.12
Romania,3.29
Russia,2.91
Saudi Arabia,$4.27 (Iced Caffè Latte)
Singapore,4.90
Slovakia,3.80
South Africa,2.64
South Korea,4.11
Spain,3.95
Sweden,4.83
Switzerland,7.17
Taiwan,4.86
Thailand,3.64
Trinidad and Tobago,3.39
Türkiye,1.31
UAE-Dubai,4.29
United Kingdom,5.31
United States,3.26
Uruguay,4.42
Vietnam,3.42